Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
China,2022,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)",Export,89640.0,500.0,Weight in kilograms,500.0,2
China,2022,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)",Import,31500.0,500.0,Weight in kilograms,500.0,2
China,2022,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",Export,2745071.0,601659.0,Weight in kilograms,601659.0,2
China,2022,"Fish; live, ornamental, freshwater",Import,16637891.0,225833.0,Weight in kilograms,225833.0,3
China,2022,"Fish; live, ornamental, freshwater",Export,3614031.0,229319.0,Weight in kilograms,229319.0,3
China,2022,"Fish; live, ornamental, other than freshwater",Import,6837794.0,80151.0,Weight in kilograms,80151.0,3
China,2022,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",Export,1025510.0,102674.0,Weight in kilograms,102674.0,3
China,2022,"Fish; live, eels (Anguilla spp.)",Import,165127757.0,299821.0,Weight in kilograms,299821.0,3
China,2022,"Fish; live, eels (Anguilla spp.)",Export,257129815.0,14057516.0,Weight in kilograms,14057516.0,3
China,2022,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Export,96946933.0,25333856.0,Weight in kilograms,25333856.0,3
China,2022,"Fish; live, n.e.c. in heading 0301",Export,454472649.0,61259900.0,Weight in kilograms,61259900.0,3
China,2022,"Fish; live, n.e.c. in heading 0301",Import,141592932.0,28357103.0,Weight in kilograms,28357103.0,3
China,2022,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",Import,1792691.0,113510.0,Weight in kilograms,113510.0,3
China,2022,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",Import,8621738.0,473483.0,Weight in kilograms,473483.0,3
China,2022,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,736711113.0,49018433.0,Weight in kilograms,49018433.0,3
China,2022,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,34482.0,2297.0,Weight in kilograms,2297.0,3
China,2022,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,329.0,3.0,Weight in kilograms,3.0,3
China,2022,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,2434952.0,349613.0,Weight in kilograms,349613.0,3
