Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
USA,2022,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Re-Export,5529.0,,Number of items,345.0,1
USA,2022,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Export,1708273.0,,Number of items,93138.0,1
USA,2022,"Insects; live, bees",Export,11351925.0,423625.0,No Quantity,,1
USA,2022,"Insects; live, bees",Import,873858.0,29425.0,Number of items,43692.528,1
USA,2022,"Insects; live, other than bees",Export,16694875.0,612991.0,No Quantity,,1
USA,2022,"Insects; live, other than bees",Re-Export,887002.0,33117.0,No Quantity,,1
USA,2022,"Insects; live, other than bees",Import,28530481.0,466685.0,No Quantity,,1
USA,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Export,6173759.0,172372.0,No Quantity,,1
USA,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Import,77387679.0,6710135.0,No Quantity,,1
USA,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Re-Export,501821.0,9033.0,No Quantity,,1
USA,2022,"Fish; live, ornamental, freshwater",Import,74825813.0,3686152.0,Weight in kilograms,3686152.0,3
USA,2022,"Fish; live, ornamental, freshwater",Export,3742488.0,220231.0,Weight in kilograms,220231.0,3
USA,2022,"Fish; live, ornamental, freshwater",Re-Export,73009.0,4969.0,Weight in kilograms,4969.0,3
USA,2022,"Fish; live, ornamental, other than freshwater",Re-Export,430560.0,10795.0,Weight in kilograms,10795.0,3
USA,2022,"Fish; live, ornamental, other than freshwater",Export,2865339.0,158531.0,Weight in kilograms,158531.0,3
USA,2022,"Fish; live, ornamental, other than freshwater",Import,16882833.0,996718.0,Weight in kilograms,996718.0,3
USA,2022,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",Export,404093.0,80672.0,Weight in kilograms,80672.0,3
USA,2022,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",Import,1914587.0,66600.0,Weight in kilograms,66600.0,3
USA,2022,"Fish; live, eels (Anguilla spp.)",Export,29590190.0,1347177.0,Weight in kilograms,1347177.0,3
USA,2022,"Fish; live, eels (Anguilla spp.)",Import,4383578.0,294024.0,Weight in kilograms,294024.0,3
USA,2022,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Export,202730.0,46735.0,Weight in kilograms,46735.0,3
USA,2022,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Import,273343.0,32419.0,Weight in kilograms,32419.0,3
USA,2022,"Fish; live, n.e.c. in heading 0301",Import,28226113.0,977990.0,Weight in kilograms,977990.0,3
USA,2022,"Fish; live, n.e.c. in heading 0301",Re-Export,75760.0,34561.0,Weight in kilograms,34561.0,3
USA,2022,"Fish; live, n.e.c. in heading 0301",Export,19631180.0,4643961.0,Weight in kilograms,4643961.0,3
USA,2022,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",Re-Export,1212964.0,154339.0,Weight in kilograms,154339.0,3
USA,2022,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",Import,72632762.0,6175133.0,Weight in kilograms,6175133.0,3
USA,2022,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",Export,4168438.0,510040.0,Weight in kilograms,510040.0,3
USA,2022,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",Re-Export,747380.0,193925.0,Weight in kilograms,193925.0,3
USA,2022,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",Import,90940908.0,6202047.0,Weight in kilograms,6202047.0,3
USA,2022,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",Export,43393121.0,14603553.0,Weight in kilograms,14603553.0,3
USA,2022,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,1394770007.0,126857560.0,Weight in kilograms,126857560.0,3
USA,2022,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,26605736.0,2097193.0,Weight in kilograms,2097193.0,3
USA,2022,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,134026875.0,12399857.0,Weight in kilograms,12399857.0,3
USA,2022,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,3370148.0,620160.0,Weight in kilograms,620160.0,3
USA,2022,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,15783470.0,1580384.0,Weight in kilograms,1580384.0,3
USA,2022,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,108529.0,18993.0,Weight in kilograms,18993.0,3
USA,2022,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,1330852.0,164735.0,Weight in kilograms,164735.0,3
USA,2022,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,21355705.0,1965521.0,Weight in kilograms,1965521.0,3
USA,2022,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,162224336.0,8630920.0,Weight in kilograms,8630920.0,3
USA,2022,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,143177.0,17761.0,Weight in kilograms,17761.0,3
USA,2022,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,8249.0,655.0,Weight in kilograms,655.0,3
USA,2022,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,6433.0,272.0,Weight in kilograms,272.0,3
USA,2022,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,674566.0,96922.0,Weight in kilograms,96922.0,3
USA,2022,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,372957.0,80712.0,Weight in kilograms,80712.0,3
USA,2022,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,6952691.0,285881.0,Weight in kilograms,285881.0,3
