Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
Argentina,2022,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, anchovies (Engrails spp.)",Export,10529768.2,4965495.0,Weight in kilograms,4965495.0,3
Argentina,2022,"Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,311531.52,10833.2,Weight in kilograms,10833.2,3
Argentina,2022,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Export,20176486.73,1063550.0,Weight in kilograms,1063550.0,3
Argentina,2022,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,4843157.59,710207.5,Weight in kilograms,710207.5,3
Argentina,2022,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Export,938487076.45,135019712.0,Weight in kilograms,135019712.0,3
Argentina,2022,"Crustaceans; live, fresh or chilled, crabs, whether in shell or not",Import,3708.33,28.21,Weight in kilograms,28.21,3
Argentina,2022,"Crustaceans; live, fresh or chilled, shrimps and prawns excluding cold-water varieties, in shell or not",Import,15480.45,45.37,Weight in kilograms,45.37,3
Argentina,2022,"Molluscs; cuttle fish and squid, whether in shell or not, frozen",Export,313306805.94,145984351.0,Weight in kilograms,145984351.0,3
Argentina,2022,"Molluscs; cuttle fish and squid, whether in shell or not, frozen",Import,3303615.72,897183.85,Weight in kilograms,897183.85,3
Argentina,2022,"Molluscs; cuttle fish and squid, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",Import,19893.26,6839.0,Weight in kilograms,6839.0,3
Argentina,2022,"Molluscs; octopus (Octopus spp.), frozen",Import,4321991.77,403988.65,Weight in kilograms,403988.65,3
Argentina,2022,"Molluscs; clams, cockles, ark shells (Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), whether in shell or not, frozen",Import,37396.78,10000.0,Weight in kilograms,10000.0,3
Argentina,2022,"Molluscs; clams, cockle, ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae, Veneridae), whether in shell or not, dried, salted, in brine, smoked",Import,4582.66,2500.0,Weight in kilograms,2500.0,3
Argentina,2022,"Molluscs; n.e.c. in heading 0307, whether in shell or not, live or fresh, chilled",Import,3647.63,110.7,Weight in kilograms,110.7,3
